name,clock,max_clock,core,thread,L2,L3,smart_cache
Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,2.5,3.2,2,4,,,3000.0
Intel(R) Core(TM) i7 CPU @ 9200 @ 2.67GHz,2.66,2.93,4,8,,,8000.0
AMD A10-5750M APU with Radeon(tm) HD Graphics ,,,,,,,
Intel(R) Core(TM) i7-4770S CPU @ 3.10GHz,3.1,3.9,4,8,,,8000.0
AMD FX(tm)-8150 Eight-Core Processor ,3.4,4.3,8.0,8.0,8000.0,,0
AMD Ryzen 9 3900X 12-Core Processor ,3.8,4.6,12.0,24.0,6000.0,64000.0,0
AMD Turion(tm)64 Mobile Technology MT-30,,,,,,,
Intel(R) Core(TM) CPU N270 @ 1.60GHz,1.6,,1,2,512.0,,
Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz,3.5,,2,4,,,3000.0
AMD Athlon(tm) 64 FX-62 Dual Core Processor,,,,,,,
Intel(R) Core(TM)2 Duo CPU E7200 @ 2.53GHz,2.53,,2,2,3000.0,,
AMD Geode(tm) NX 2100+,,,,,,,
Intel(R) Core(TM)2 Duo CPU T7100 @ 1.80GHz,1.8,,2,2,2000.0,,
AMD Athlon(TM) XP 1600+,,,,,,,
Intel(R) Core(TM)2 Duo CPU P7550 @ 2.26GHz,2.26,,2,2,3000.0,,
AMD Athlon(tm) Prosussor,,,,,,,
AMD Ryzen 5 2600X Six-Core Processor ,3.4,3.9,6.0,12.0,3000.0,16000.0,0
AMD Phenom(tm) II X3 720 Processor,,,,,,,
Intel(R) Pentium(R) M processor 1.86GHz,1.86,,1,1,2000.0,,
Intel(R) Pentium(R) D CPU 2.80GHz,2.8,,2,2,2000.0,,
AMD Phenom(tm) II X4 955 Processor,3.2,,4,,2000.0,6000.0,0
Intel(R) Core(TM)2 Duo CPU L7500 @ 1.60GHz,1.6,,2,2,4000.0,,
AMD Turion(tm) 64 Mobile Technology MT-40,,,,,,,
AMD Athlon(tm) XP 1500+,,,,,,,
AMD Ryzen 7 2700X Eight-Core Processor ,3.7,4.3,8.0,16.0,4000.0,16000.0,0
AMD Opteron(tm) Processor 148,,,,,,,
AMD Ryzen 5 2600 Six-Core Processor ,3.4,3.9,6.0,12.0,3000.0,16000.0,0
Intel(R) Core(TM)2 Duo CPU E8200 @ 2.66GHz,2.66,,2,2,6000.0,,
Intel(R) Pentium(R) CPU U5400 @ 1.20GHz,1.2,,2,2,,,3000.0
mobile AMD Athlon(tm) XP-M 2500+,,,,,,,
Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,3.2,4.6,6,12,,,12000.0
Intel(R) Atom(TM) x7-Z8750 CPU @ 1.60GHz,1.6,,4,4,,2000.0,
AMD Athlon(TM) XP1900+,,,,,,,
AMD Ryzen 7 1700 Eight-Core Processor ,3.0,3.7,8.0,16.0,4000.0,16000.0,0
Intel(R) Pentium(R) 4 Family CPU 2.40GHz,2.4,,2,2,,2000.0,
