,0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
435,506,Colorful SL300 160G,https://kakaku.com/item/K0001031004/,160.0,530.0,450.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,4480
436,507,トランセンド TS32GMTS800,https://kakaku.com/item/K0000669345/,32.0,560.0,310.0,M.2(Type2280),SerialATA6Gb/s,MLC,3.5mm,4481
437,510,トランセンド MTS820 TS240GMTS820S,https://kakaku.com/item/K0001018665/,240.0,550.0,500.0,M.2(Type2280),SerialATA6Gb/s,3DNANDTLC,3.58mm,4980
438,511,PLEXTOR S3C PX-256S3C,https://kakaku.com/item/K0000972288/,256.0,550.0,510.0,2.5インチ,SerialATA6Gb/s,TLC,6.8mm,5075
439,512,CFD CFD EX. CSSD-S6i256HG7V,https://kakaku.com/item/K0001028580/,256.0,550.0,500.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,5080
440,513,トランセンド TS128GESD400K,https://kakaku.com/item/K0000672293/,128.0,410.0,380.0,0,USB,MLC,0,5780
441,514,Silicon Power Bolt B10 SP256GBPSDB10SBK [ブラック],https://kakaku.com/item/K0001031117/,256.0,400.0,400.0,0,USB,0,0,5900
442,515,ESSENCORE KLEVV NEO N600 D120GAA-N600,https://kakaku.com/item/K0000961346/,120.0,560.0,370.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,5990
443,517,KingSpec P3-256,https://kakaku.com/item/K0001023355/,256.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,0,7mm,6380
444,518,エレコム ESD-EC0240GWH [ホワイト],https://kakaku.com/item/K0001038562/,240.0,410.0,400.0,0,USB,TLC,0,6407
445,521,UMAX S330 UM-SSD25S330-480,https://kakaku.com/item/K0001216437/,480.0,560.0,450.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,6980
446,522,IODATA SSPH-UT480K [スモーキーブラック],https://kakaku.com/item/K0001148058/,480.0,350.0,300.0,0,USB,0,0,7003
447,523,SUPER TALENT DuraDrive ZT4 FEU064MD1X,https://kakaku.com/item/K0000857253/,64.0,110.0,72.0,1.8インチ,ZIF,MLC,5mm,7150
448,524,エレコム ESD-EF0250GSV [シルバー],https://kakaku.com/item/K0001188704/,250.0,430.0,400.0,0,USB,0,0,7309
449,526,LITEON MU 3 PH6-CE480-L2,https://kakaku.com/item/K0001079199/,480.0,560.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,8008
450,527,crucial BX300 CT120BX300SSD1,https://kakaku.com/item/K0001004813/,120.0,555.0,510.0,2.5インチ,SerialATA6Gb/s,3DMLC,7mm,8037
451,528,トランセンド 110S TS512GMTE110S,https://kakaku.com/item/K0001060797/,512.0,1700.0,1500.0,M.2(Type2280),PCI-Express,3DNAND,3.58mm,8480
452,530,エレコム ESD-EJ0500GBK [ブラック],https://kakaku.com/item/K0001214596/,500.0,400.0,320.0,0,USB,0,0,8700
453,532,エレコム ESD-EC0480GRD [レッド],https://kakaku.com/item/K0001152653/,480.0,410.0,400.0,0,USB,TLC,0,9090
454,533,Team T-FORCE DELTA RGB SSD T253TR250G3C313 [ブラック],https://kakaku.com/item/K0001064446/,250.0,560.0,500.0,2.5インチ,SerialATA6Gb/s,0,9.5mm,9125
455,534,キングストン UV500 SSD SUV500M8/480G,https://kakaku.com/item/K0001051558/,480.0,520.0,500.0,M.2(Type2280),SerialATA6Gb/s,3DTLC,3.5mm,9170
456,535,バッファロー SSD-PM480U3-B/N [ブラック],https://kakaku.com/item/K0000923827/,480.0,421.6,370.0,0,USB,0,0,9184
