,0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
132,27,SANDISK SSD PLUS SDSSDA-240G-J26,https://kakaku.com/item/K0000881062/,240.0,530.0,440.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,4070
133,497,Colorful SL500 240G V2,https://kakaku.com/item/K0001049196/,240.0,530.0,450.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,3480
134,660,ADATA SC680 ASC680-240GU32G2-CBL [ブルー],https://kakaku.com/item/K0001193828/,240.0,530.0,460.0,0,USB,3DNAND,0,4978
135,676,KingFast F6 PRO 2710DCS23-240,https://kakaku.com/item/K0001093079/,240.0,530.0,470.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,5780
136,750,UMAX S300 S300TL240,https://kakaku.com/item/K0000926167/,240.0,540.0,490.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,9548
137,3,crucial BX500 CT240BX500SSD1,https://kakaku.com/item/K0001086728/,240.0,540.0,500.0,2.5インチ,SerialATA6Gb/s,3DNAND,7mm,3980
138,871,キングストン SSDNow mS200 Drive SMS200S3/240G,https://kakaku.com/item/K0000657974/,240.0,540.0,530.0,mSATA,SerialATA6Gb/s,0,0,19398
139,336,HI-DISC HDSSD240GJP3,https://kakaku.com/item/K0001031707/,240.0,550.0,480.0,2.5インチ,SerialATA6Gb/s,0,7mm,4380
140,309,ロジテック 【直販モデル】 LMD-SA240,https://kakaku.com/item/K0001193141/,240.0,550.0,490.0,2.5インチ,SerialATA6Gb/s,0,7mm,4510
141,510,トランセンド MTS820 TS240GMTS820S,https://kakaku.com/item/K0001018665/,240.0,550.0,500.0,M.2(Type2280),SerialATA6Gb/s,3DNANDTLC,3.58mm,4980
142,61,Apacer AS340 AP240GAS340G-1,https://kakaku.com/item/K0001209732/,240.0,550.0,520.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,3980
