,0,name,url,processor_name,maker,type,clock,max_clock,core,thread,is_L2,L2,is_L3,L3,is_smart_cache,smart_cache,PRICE
120,126,AMD EPYC 7401P BOX,https://kakaku.com/item/K0001087348/,EPYC7401P,AMD,0,2.0,3.0,24.0,48.0,0.0,0.0,1.0,64000.0,0.0,0.0,156639.0
121,127,インテル Xeon Gold 5218 BOX,https://kakaku.com/item/K0001159366/,XeonGold5218 (CascadeLake-SP),インテル,LGA3647,2.3,3.9,16.0,32.0,0.0,0.0,1.0,22000.0,0.0,0.0,160880.0
122,128,インテル Xeon E5-2670 v2 BOX,https://kakaku.com/item/K0000575843/,XeonE5-2670V2 (IvyBridge),インテル,LGA2011,2.5,3.3,10.0,20.0,0.0,0.0,0.0,0.0,1.0,25000.0,180731.0
123,129,インテル Xeon W-3235 バルク,https://kakaku.com/item/K0001211656/,XeonW-3235 (CascadeLake),インテル,LGA3647,3.3,4.5,12.0,24.0,0.0,0.0,1.0,19250.0,0.0,0.0,186999.0
124,130,インテル Xeon E5-2683 v4 BOX,https://kakaku.com/item/K0000869944/,XeonE5-2683V4 (Broadwell-EP),インテル,LGA2011-3,2.1,3.0,16.0,32.0,0.0,0.0,0.0,0.0,1.0,40000.0,229899.0
125,131,インテル Xeon Gold 6230 BOX,https://kakaku.com/item/K0001159365/,XeonGold6230 (CascadeLake-SP),インテル,LGA3647,2.1,3.9,20.0,40.0,0.0,0.0,1.0,28000.0,0.0,0.0,238600.0
126,132,インテル Xeon E5-2697 v4 BOX,https://kakaku.com/item/K0000869949/,XeonE5-2697V4 (Broadwell-EP),インテル,LGA2011-3,2.3,3.6,18.0,36.0,0.0,0.0,0.0,0.0,1.0,45000.0,338799.0
127,133,インテル Xeon W-3275M バルク,https://kakaku.com/item/K0001211650/,XeonW-3275M (CascadeLake),インテル,LGA3647,2.5,4.6,28.0,56.0,0.0,0.0,1.0,38500.0,0.0,0.0,967999.0
128,136,インテル Celeron Dual-Core G3900 BOX,https://kakaku.com/item/K0000857596/,CeleronDual-CoreG3900 (Skylake),インテル,LGA1151,2.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2000.0,6780.0
129,139,インテル Pentium Dual-Core G4520 BOX,https://kakaku.com/item/K0000825694/,PentiumDual-CoreG4520 (Skylake),インテル,LGA1151,3.6,0.0,2.0,2.0,0.0,0.0,1.0,3000.0,0.0,0.0,12540.0
130,140,インテル Core i3 7100T BOX,https://kakaku.com/item/K0000933423/,Corei37100T (KabyLake-S),インテル,LGA1151,3.4,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3000.0,15675.0
