119,インテル Core i7 7800X,https://kakaku.com/item/K0000970157/,Corei77800X (Skylake-X),インテル,LGA2066,3.5,4.0,6,12,,8250.0,,49824
120,インテル Xeon E5-1650 v4 BOX,https://kakaku.com/item/K0000904453/,XeonE5-1650V4 (Broadwell-EP),インテル,LGA2011-3,3.6,4.0,6,12,,15000.0,,77204
121,インテル Xeon W-3223 バルク,https://kakaku.com/item/K0001211658/,XeonW-3223 (CascadeLake),インテル,LGA3647,3.5,4.2,8,16,,16500.0,,102959
122,インテル Xeon W-3235 バルク,https://kakaku.com/item/K0001211656/,XeonW-3235 (CascadeLake),インテル,LGA3647,3.3,4.5,12,24,,19250.0,,186999
123,インテル Xeon E5-2690 v3 BOX,https://kakaku.com/item/K0000691890/,XeonE5-2690V3 (Haswell-EP),インテル,LGA2011-3,2.6,,12,,,,30000.0,263883
124,AMD EPYC 7601 BOX,https://kakaku.com/item/K0001087343/,EPYC7601,AMD,,2.2,3.2,32,64,,64000.0,,711259
125,インテル Core Duo T2300E BOX,https://kakaku.com/item/05100011010/,CoreDuoT2300E,インテル,,1.66,,2,,2000.0,,,3967
126,インテル Celeron Dual-Core G1610 バルク,https://kakaku.com/item/K0000459346/,CeleronDual-CoreG1610 (IvyBridge),インテル,LGA1155,2.6,,2,,,,2000.0,4980
127,インテル Celeron Dual-Core G3900 BOX,https://kakaku.com/item/K0000857596/,CeleronDual-CoreG3900 (Skylake),インテル,LGA1151,2.8,,2,2,,,2000.0,6780
128,インテル Pentium Dual-Core G4400 BOX,https://kakaku.com/item/K0000825688/,PentiumDual-CoreG4400 (Skylake),インテル,LGA1151,3.3,,2,2,,,3000.0,8980
129,インテル Core 2 Quad Q6600 バルク,https://kakaku.com/item/05100011185/,Core2QuadQ6600,インテル,LGA775,2.4,,4,,8000.0,,,11198
130,インテル Core i5 660 バルク,https://kakaku.com/item/K0000079474/,Corei5660,インテル,LGA1156,3.33,,2,,,4000.0,,12980
131,インテル Core i3 2100 バルク,https://kakaku.com/item/K0000215609/,Corei32100,インテル,LGA1155,3.1,,2,,,,3000.0,14280
132,AMD Ryzen 5 1600X BOX,https://kakaku.com/item/K0000958311/,Ryzen51600X,AMD,SocketAM4,3.6,4.0,6,12,3000.0,16000.0,,16553
133,インテル Core i3 6100 BOX,https://kakaku.com/item/K0000832917/,Corei36100 (Skylake),インテル,LGA1151,3.7,,2,4,,,3000.0,16800
134,インテル Core i3 7300 BOX,https://kakaku.com/item/K0000933417/,Corei37300 (KabyLake-S),インテル,LGA1151,4.0,,2,4,,4000.0,,19644
135,インテル Core i3 7350K BOX,https://kakaku.com/item/K0000933425/,Corei37350K (KabyLake-S),インテル,LGA1151,4.2,,2,4,,,4000.0,24035
136,インテル Core i5 8400 バルク,https://kakaku.com/item/K0001106865/,Corei58400 (CoffeeLake-S),インテル,LGA1151,2.8,4.0,6,6,,,9000.0,24300
137,インテル Xeon E5-2603 v4 BOX,https://kakaku.com/item/K0000869925/,XeonE5-2603V4 (Broadwell-EP),インテル,LGA2011-3,1.7,,6,6,,,15000.0,26462
138,インテル Core i5 7500 BOX,https://kakaku.com/item/K0000933079/,Corei57500 (KabyLake-S),インテル,LGA1151,3.4,3.8,4,4,,,6000.0,27225
139,インテル Xeon Bronze 3204 BOX,https://kakaku.com/item/K0001159423/,XeonBronze3204 (CascadeLake-SP),インテル,LGA3647,1.9,1.9,6,6,,8250.0,,27918
140,インテル Xeon E3-1225 v6 BOX,https://kakaku.com/item/K0000957607/,XeonE3-1225V6 (KabyLake-S),インテル,LGA1151,3.3,3.7,4,4,,,8000.0,29469
141,インテル Core i5 7600 BOX,https://kakaku.com/item/K0000932819/,Corei57600 (KabyLake-S),インテル,LGA1151,3.5,4.1,4,4,,,6000.0,30085
142,AMD Ryzen 7 1700 BOX,https://kakaku.com/item/K0000946575/,Ryzen71700,AMD,SocketAM4,3.0,3.7,8,16,4000.0,16000.0,,30327
143,インテル Core i5 7600K BOX,https://kakaku.com/item/K0000932817/,Corei57600K (KabyLake-S),インテル,LGA1151,3.8,4.2,4,4,,,6000.0,32389
144,インテル Xeon E5-2609 v4 BOX,https://kakaku.com/item/K0000869927/,XeonE5-2609V4 (Broadwell-EP),インテル,LGA2011-3,1.7,,8,8,,,20000.0,36647
145,インテル Xeon W-2123 BOX,https://kakaku.com/item/K0001031351/,XeonW-2123 (Skylake-W),インテル,LGA2066,3.6,3.9,4,8,,8250.0,,37690
146,インテル Core i7 4930K BOX,https://kakaku.com/item/K0000575494/,Corei74930K (IvyBridgeE),インテル,LGA2011,3.4,,6,,,,12000.0,37908
147,インテル Core i7 2600 バルク,https://kakaku.com/item/K0000215572/,Corei72600,インテル,LGA1155,3.4,,4,,,,8000.0,38999
148,インテル Core i7 7700T BOX,https://kakaku.com/item/K0000933077/,Corei77700T (KabyLake-S),インテル,LGA1151,2.9,3.8,4,8,,,8000.0,42020
149,インテル Xeon E-2174G BOX,https://kakaku.com/item/K0001130768/,XeonE-2174G (CoffeeLake),インテル,LGA1151,3.8,4.7,4,8,,,8000.0,42899
150,インテル Xeon E-2274G BOX,https://kakaku.com/item/K0001210314/,XeonE-2274G (CoffeeLake),インテル,LGA1151,4.0,4.9,4,8,,,8000.0,49000
151,インテル Xeon E5-2620 v3 バルク,https://kakaku.com/item/K0000691501/,XeonE5-2620V3 (Haswell-EP),インテル,LGA2011-3,2.4,,6,,,,15000.0,49704
152,インテル Xeon Silver 4208 BOX,https://kakaku.com/item/K0001159369/,XeonSilver4208 (CascadeLake-SP),インテル,LGA3647,2.1,3.2,8,16,,11000.0,,53490
153,インテル Core i7 4771 BOX,https://kakaku.com/item/K0000568222/,Corei74771 (Haswell),インテル,LGA1150,3.5,3.9,4,8,,,8000.0,54000
154,インテル Xeon Silver 4210 BOX,https://kakaku.com/item/K0001159368/,XeonSilver4210 (CascadeLake-SP),インテル,LGA3647,2.2,3.2,10,20,,14000.0,,62490
155,インテル Core i7 5930K BOX,https://kakaku.com/item/K0000688452/,Corei75930K (HaswellE),インテル,LGA2011-3,3.5,3.7,6,12,,,15000.0,70370
156,インテル Xeon E5-2630 v4 BOX,https://kakaku.com/item/K0000869933/,XeonE5-2630V4 (Broadwell-EP),インテル,LGA2011-3,2.2,3.1,10,20,,,25000.0,80959
157,インテル Core i9 9920X BOX,https://kakaku.com/item/K0001096317/,Corei99920X (Skylake-XRefresh),インテル,LGA2066,3.5,4.4,12,24,,,19250.0,81400
158,インテル Xeon Silver 4214 BOX,https://kakaku.com/item/K0001159424/,XeonSilver4214 (CascadeLake-SP),インテル,LGA3647,2.2,3.2,12,24,,17000.0,,86450
159,インテル Core i7 5960X Extreme Edition BOX,https://kakaku.com/item/K0000688450/,Corei75960XExtremeEdition (HaswellE),インテル,LGA2011-3,3.0,,8,,,,20000.0,114378
160,インテル Xeon Silver 4216 BOX,https://kakaku.com/item/K0001159367/,XeonSilver4216 (CascadeLake-SP),インテル,LGA3647,2.1,3.2,16,32,,22000.0,,126590
161,インテル Xeon E5-2650 v2 BOX,https://kakaku.com/item/K0000576832/,XeonE5-2650V2 (IvyBridge),インテル,LGA2011,2.6,,8,,,,20000.0,138393
162,インテル Xeon E5-1660 v4 バルク,https://kakaku.com/item/K0000931016/,XeonE5-1660V4 (Broadwell-EP),インテル,LGA2011-3,3.2,,8,,,20000.0,,142389
163,インテル Xeon W-2145 バルク,https://kakaku.com/item/K0001098192/,XeonW-2145 (Skylake-W),インテル,LGA2066,3.7,4.5,8,16,,11000.0,,159839
164,インテル Core i9 7980XE Extreme Edition BOX,https://kakaku.com/item/K0001008610/,Corei97980XE (Skylake-X),インテル,LGA2066,2.6,4.2,18,36,,24750.0,,166980
