0,name,url,capacity,read_speed,write_speed,std_size,interface,type,thikness,PRICE
492,サムスン 960 EVO M.2 MZ-V6E1T0B/IT,https://kakaku.com/item/K0000929859/,1000.0,3200.0,1900.0,M.2(Type2280),PCI-Express,V-NAND,2.38mm,32500
493,WESTERN DIGITAL WD Black NVMe WDS100T2X0C,https://kakaku.com/item/K0001054464/,1000.0,3400.0,2800.0,M.2(Type2280),PCI-Express,3DNAND,2.38mm,32791
494,Micron 1100 MTFDDAK2T0TBN-1AR1ZABYY,https://kakaku.com/item/K0001035530/,2048.0,530.0,500.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,35800
495,トランセンド MTS800S TS1TMTS800S,https://kakaku.com/item/K0001060334/,1000.0,500.0,450.0,M.2(Type2280),SerialATA6Gb/s,NANDMLC,3.58mm,39702
497,サムスン 860 EVO M.2 MZ-N6E2T0B/IT,https://kakaku.com/item/K0001027995/,2000.0,550.0,520.0,M.2(Type2280),SerialATA6Gb/s,V-NAND3bitMLC,2.38mm,40830
498,インテル Optane SSD 900P SSDPED1D280GAX1,https://kakaku.com/item/K0001106127/,280.0,2500.0,2000.0,0,PCI-Express,3DXpoint,0,46749
499,インテル D3-S4510 SSDSC2KB019T801,https://kakaku.com/item/K0001083153/,1920.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DNANDTLC,7mm,49500
502,UMAX M1200 UM-SSDNV44M1200-2T,https://kakaku.com/item/K0001221165/,2000.0,5000.0,4400.0,M.2(Type2280),PCI-Express,3DTLCNAND,1.35mm,59800
503,サムスン 960 PRO M.2 MZ-V6P1T0B/IT,https://kakaku.com/item/K0000929857/,1024.0,3500.0,2100.0,M.2(Type2280),PCI-Express,V-NAND,2.38mm,88198
504,ABONMAX AM-SSD-128GB,https://kakaku.com/item/K0001193804/,128.0,560.0,510.0,2.5インチ,SerialATA6Gb/s,3DTLC,7mm,2390
505,トランセンド MTS400 TS32GMTS400S,https://kakaku.com/item/K0001021158/,32.0,560.0,460.0,M.2(Type2242),SerialATA6Gb/s,NANDMLC,3.58mm,2780
506,LITEON PH6-CE120-L1,https://kakaku.com/item/K0001140220/,120.0,560.0,460.0,2.5インチ,SerialATA6Gb/s,3DTLCNAND,7mm,3272
507,KingFast F6 PRO 2710DCS23-120,https://kakaku.com/item/K0001004406/,120.0,400.0,390.0,2.5インチ,SerialATA6Gb/s,TLCNAND,7mm,3276
509,バッファロー SSD-PL120U3-BK/N [ブラック],https://kakaku.com/item/K0000986770/,120.0,340.0,320.0,0,USB,0,0,3380
510,J&A Information LEVEN JS600 SSD JS600SSD256GB,https://kakaku.com/item/K0001208356/,256.0,560.0,440.0,2.5インチ,SerialATA6Gb/s,0,7mm,3480
511,エレコム ESD-EC0120GWH [ホワイト],https://kakaku.com/item/K0001038561/,120.0,410.0,400.0,0,USB,TLC,0,3507
512,LITEON MU 3 PH6-CE120,https://kakaku.com/item/K0001035790/,120.0,560.0,460.0,2.5インチ,SerialATA6Gb/s,3DMLCNAND,7mm,3546
513,キングストン SSDNow UV400 SUV400S37/120G,https://kakaku.com/item/K0000882466/,120.0,550.0,350.0,2.5インチ,SerialATA6Gb/s,TLC,7mm,3758
514,エレコム ESD-JEC0120GBK [ブラック],https://kakaku.com/item/K0001082288/,120.0,350.0,350.0,0,USB,TLC,0,3780
